,L,D,forward_time,forward_mem,backward_time,backward_mem
0,256,16,0.2583902000242233,13132288,0.5350530600208003,8912896
1,1024,16,0.7494768100423244,85819904,1.8246689600255195,1572864
2,4096,16,9.680286279954089,1097466368,21.439820600025996,6291456
3,8192,16,32.26203095005985,4325376512,78.92263037997509,12582912
4,256,32,0.35690018999048334,22045184,0.7528465799896367,786432
5,1024,32,0.626540590019431,87392768,1.5531160800674115,3145728
6,4096,32,9.060297390060441,1103757824,21.1800859199775,12582912
7,8192,32,33.196472429954156,4337959424,79.83855830999346,25165824
8,256,64,0.2827277300366404,22831616,0.5480329600231926,1572864
9,1024,64,0.6844908700168162,90538496,1.5521859499858692,6291456
10,4096,64,9.166556560012395,1116340736,21.344726510005785,25165824
11,8192,64,33.876250659959624,4363125248,84.25024533999022,50331648
12,256,128,0.29025015002844157,24404480,0.5278722799812385,3145728
13,1024,128,0.7390450799721293,96829952,1.728978420014755,12582912
14,4096,128,10.402216339998631,1141506560,21.822897239999293,50331648
15,8192,128,36.15133854003034,4413456896,84.29433670002254,100663296
